Match_addr,x,IN_City,score,IN_Address,IN_Postal,Subregion,y,Postal,PostalExt,ResultID,City
"Rickenbacker Rd, Bell Gardens, California, 90201",-118.16799998900,Bell,94,5391 Rickenbacker Rd,90201,Los Angeles County,33.99076006160,90201,,114,Bell Gardens
"5350 Lindbergh Ln, Bell Gardens, California, 90201",-118.17306742000,Bell,100,5350 Lindbergh Ln,90201,Los Angeles County,33.99582757330,90201,6415,113,Bell Gardens
"Virginia Ave, Baldwin Park, California, 91706",-117.95467703400,Baldwin Park,94,13502 Virginia Ave,91706,Los Angeles County,34.08637671290,91706,,100,Baldwin Park
"1241 E Watson Center Rd, Carson, California, 90745",-118.25172931800,Carson,100,1241 Watson Center Rd,90745,Los Angeles County,33.82028415980,90745,4207,235,Carson
"21750 Arnold Center Rd, Long Beach, California, 90810",-118.23054774600,Carson,96,21750 S Arnold Center Dr,90810,Los Angeles County,33.83089598450,90810,1645,284,Long Beach
"100 S Puente St, Brea, California, 92821",-117.91562246100,Brea,100,100 S Puente St,92821,Orange County,33.92006099410,92821,3813,142,Brea
"1777 W Lincoln St, Banning, California, 92220",-116.89551098100,Banning,100,1777 W Lincoln St,92220,Riverside County,33.92162744600,92220,4218,102,Banning
"19600 S Alameda St, Compton, California, 90221",-118.21764723700,Rancho Dominguez,100,19600 S Alameda St,90221,Los Angeles County,33.85348309690,90221,6213,2473,Compton
"1220 E Watson Center Rd, Carson, California, 90745",-118.25154198300,Carson,100,1220 Watson Center Rd,90745,Los Angeles County,33.82023223390,90745,4206,232,Carson
"5500 Lindbergh Ln, Bell Gardens, California, 90201",-118.16771398200,Bell,100,5500 Lindbergh Ln,90201,Los Angeles County,33.99415513220,90201,6410,116,Bell Gardens
"5400 Lindbergh Ln, Bell Gardens, California, 90201",-118.17287966500,Bell,100,5400 Lindbergh Ln,90201,Los Angeles County,33.99584722890,90201,6409,115,Bell Gardens
"2750 Orbiter St, Brea, California, 92821",-117.86094998800,Brea,100,2750 Orbiter St,92821,Orange County,33.91432249170,92821,6256,153,Brea
"18420 Harmon Ave, Carson, California, 90746",-118.23868246700,Carson,100,18420 Harmon Ave,90746,Los Angeles County,33.86376700080,90746,4018,257,Carson
"17145 Margay Ave, Carson, California, 90746",-118.25823744700,Carson,99,17145 S Margay Ave,90746,Los Angeles County,33.87602469600,90746,1209,252,Carson
"15928 Commerce Way, Cerritos, California, 90703",-118.04301448100,Cerritos,100,15928 Commerce Way,90703,Los Angeles County,33.88690591510,90703,2319,351,Cerritos
"630 Nicholas Rd, Beaumont, California, 92223",-116.99458625000,Beaumont,100,630 Nicholas Rd,92223,Riverside County,33.92987381380,92223,2615,107,Beaumont
"Prosperity Way, Beaumont, California, 92223",-117.00312870200,Beaumont,95,1020 Prosperity Way,92223,Riverside County,33.93015916440,92223,,104,Beaumont
"5651 Rickenbacker Rd, Bell Gardens, California, 90201",-118.16304341800,Bell,100,5651 Rickenbacker Rd,90201,Los Angeles County,33.98930653650,90201,6413,121,Bell Gardens
"1031 E Watson Center Rd, Carson, California, 90745",-118.25631740400,Carson,100,1031 Watson Center Rd,90745,Los Angeles County,33.82025109320,90745,4203,218,Carson
"4901 Bandini Blvd, Los Angeles, California, 90058",-118.17666630800,Bell,98,4901 Bandini Blvd,90201,Los Angeles County,33.99884999430,90058,5400,111,Los Angeles
"909 E 236th St, Carson, California, 90745",-118.25850617100,Carson,100,909 E 236th St,90745,Los Angeles County,33.81132906010,90745,6234,329,Carson
"1225 W Imperial Hwy, Brea, California, 92821",-117.91933799100,Brea,100,1225 W Imperial Hwy,92821,Orange County,33.91959898360,92821,3729,146,Brea
"1058 E 230th St, Carson, California, 90745",-118.25557409700,Carson,100,1058 E 230th St,90745,Los Angeles County,33.81719526080,90745,5006,222,Carson
"2807 E El Presidio St, Long Beach, California, 90810",-118.21212331700,Carson,99,2807 El Presidio St,90810,Los Angeles County,33.84166916080,90810,1120,316,Long Beach
"13233 Moore St, Cerritos, California, 90703",-118.05002745200,Cerritos,100,13233 Moore St,90703,Los Angeles County,33.88239896570,90703,,342,Cerritos
"1065 E Walnut St, Carson, California, 90746",-118.25576813800,Carson,100,1065 E Walnut St,90746,Los Angeles County,33.87535343130,90746,1346,223,Carson
"3201 W Mission Rd, Alhambra, California, 91803",-118.15958647000,Alhambra,100,3201 W Mission Rd,91803,Los Angeles County,34.07857455970,91803,1113,3,Alhambra
"1010 W 4th St, Beaumont, California, 92223",-117.00267537400,Beaumont,100,1010 W 4th St,92223,Riverside County,33.92668164980,92223,2684,103,Beaumont
"16000 Carmenita Rd, Cerritos, California, 90703",-118.04643630900,Cerritos,100,16000 Carmenita Rd,90703,Los Angeles County,33.88699996000,90703,2209,354,Cerritos
"13012 Midway Pl, Cerritos, California, 90703",-118.05397440600,Cerritos,100,13012 Midway Pl,90703,Los Angeles County,33.88534269010,90703,2231,338,Cerritos
"1130 E 230th St, Carson, California, 90745",-118.25342807800,Carson,100,1130 E 230th St,90745,Los Angeles County,33.81720351700,90745,5008,228,Carson
"2850 E Del Amo Blvd, Compton, California, 90221",-118.20925234000,Carson,98,2850 E Del Amo Blvd,90221,Los Angeles County,33.84651869820,90221,6007,318,Compton
"23000 Avalon Blvd, Carson, California, 90745",-118.26367512300,Carson,100,23000 Avalon Blvd,90745,Los Angeles County,33.81728000190,90745,5017,302,Carson
"1071 E 233rd St, Carson, California, 90745",-118.25382269800,Carson,100,1071 E 233rd St,90745,Los Angeles County,33.81365788810,90745,6206,224,Carson
"1650 E Glenn Curtiss St, Carson, California, 90746",-118.24031854300,Carson,100,1650 E Glenn Curtiss St,90746,Los Angeles County,33.86076861300,90746,4013,247,Carson
"13255 Amar Rd, La Puente, California, 91746",-117.98639787600,City of Industry,99,13255 E Amar Rd,91746,Los Angeles County,34.06014078690,91746,1203,520,La Puente
"990 E 233rd St, Carson, California, 90745",-118.25574383100,Carson,100,990 E 233rd St,90745,Los Angeles County,33.81402166270,90745,6203,332,Carson
"2660 E del Amo Blvd, Compton, California, 90221",-118.21541497400,Carson,100,2660 E Del Amo Blvd,90221,Los Angeles County,33.84656251590,90221,6004,314,Compton
"12850 Midway Pl, Cerritos, California, 90703",-118.05762489200,Cerritos,100,12850 Midway Pl,90703,Los Angeles County,33.88532831510,90703,2140,334,Cerritos
"22673 S Wilmington Ave, Carson, California, 90745",-118.24577059800,Carson,100,22673 S Wilmington Ave,90745,Los Angeles County,33.82039569670,90745,,298,Carson
"3025 E Dominguez St, Long Beach, California, 90810",-118.21186306400,Carson,100,3025 E Dominguez St,90810,Los Angeles County,33.83925347990,90810,,320,Long Beach
"20633 S Fordyce Ave, Long Beach, California, 90810",-118.22409401600,Carson,100,20633 S Fordyce Ave,90810,Los Angeles County,33.84427413060,90810,1019,272,Long Beach
"11260 Cedar Ave, Bloomington, California, 92316",-117.39650747600,Bloomington,100,11260 Cedar Ave,92316,San Bernardino County,34.05050700250,92316,3108,126,Bloomington
"13085 E Temple Ave, La Puente, California, 91746",-117.99622870800,City of Industry,100,13085 E Temple Ave,91746,Los Angeles County,34.05921407880,91746,1418,515,La Puente
"113 Viking Ave, Brea, California, 92821",-117.90944994300,Brea,100,113 Viking Ave,92821,Orange County,33.92072890600,92821,3817,144,Brea
"1551 S Lilac Ave, Bloomington, California, 92316",-117.37898250900,Bloomington,100,1551 S Lilac Ave,92316,San Bernardino County,34.07364901810,92316,2141,129,Bloomington
"17211 Valley View Ave, Cerritos, California, 90703",-118.02892743500,Cerritos,100,17211 Valley View Ave,90703,Los Angeles County,33.87467600590,90703,2414,363,Cerritos
"14505 E Proctor Ave, La Puente, California, 91746",-117.97916398000,City of Industry,100,14505 E Proctor Ave,91746,Los Angeles County,34.03308608090,91746,2912,538,La Puente
"21950 Arnold Center Rd, Long Beach, California, 90810",-118.23091328100,Carson,100,21950 Arnold Center Rd,90810,Los Angeles County,33.82791822950,90810,1646,287,Long Beach
"1710 E Sepulveda Blvd, Carson, California, 90745",-118.23915135000,Carson,100,1710 E Sepulveda Blvd,90745,Los Angeles County,33.80809926140,90745,6142,251,Carson
"1500 Glenn Curtiss St, Carson, California, 90746",-118.24349175100,Carson,99,1500 E Glenn Curtiss St,90746,Los Angeles County,33.85977331730,90746,4012,241,Carson
"566 Vanguard Way, Brea, California, 92821",-117.90371873300,Brea,100,566 Vanguard Way,92821,Orange County,33.92352774920,92821,3928,161,Brea
"2575 E El Presidio St, Long Beach, California, 90810",-118.21937181900,Carson,99,2575 El Presidio St,90810,Los Angeles County,33.84192091130,90810,1114,312,Long Beach
"1460 Beachey Pl, Carson, California, 90746",-118.24787540300,Carson,100,1460 Beachey Pl,90746,Los Angeles County,33.86223659100,90746,4002,240,Carson
"13226 Alondra Blvd, Cerritos, California, 90703",-118.05064704200,Cerritos,100,13226 Alondra Blvd,90703,Los Angeles County,33.88774247090,90703,2237,341,Cerritos
"2888 E El Presidio St, Long Beach, California, 90810",-118.20976481700,Carson,100,2888 E El Presidio St,90810,Los Angeles County,33.84159657350,90810,1119,319,Long Beach
"14641 E Don Julian Rd, La Puente, California, 91746",-117.97852900100,City of Industry,100,14641 E Don Julian Rd,91746,Los Angeles County,34.02776509640,91746,,542,La Puente
"1021 E 233rd St, Carson, California, 90745",-118.25532456800,Carson,100,1021 E 233rd St,90745,Los Angeles County,33.81400087560,90745,6206,217,Carson
"3370 Enterprise Dr, Bloomington, California, 92316",-117.36964397900,Bloomington,100,3370 Enterprise Dr,92316,San Bernardino County,34.03917500470,92316,3538,139,Bloomington
"24700 Main St, Carson, California, 90745",-118.27170498600,Carson,99,24700 S Main St,90745,Los Angeles County,33.80289699130,90745,6321,310,Carson
"15959 Piuma Ave, Cerritos, California, 90703",-118.10570784800,Cerritos,100,15959 Piuma Ave,90703,Los Angeles County,33.88652910660,90703,1526,353,Cerritos
"415 Nicholas Rd, Beaumont, California, 92223",-116.99469060500,Beaumont,100,415 Nicholas Rd,92223,Riverside County,33.92790243210,92223,2612,105,Beaumont
"16150 Stephens St, Hacienda Heights, California, 91745",-117.95027090100,City of Industry,99,16150 E Stephens St,91745,Los Angeles County,34.01301470770,91745,1718,576,Hacienda Heights
"2250 E 220th St, Long Beach, California, 90810",-118.23352466300,Carson,100,2250 E 220th St,90810,Los Angeles County,33.82787405690,90810,1638,294,Long Beach
"22 Brookline, Aliso Viejo, California, 92656",-117.73057342400,Aliso Viejo,100,22 Brookline,92656,Orange County,33.58928326680,92656,1461,5,Aliso Viejo
"13131 166th St, Cerritos, California, 90703",-118.05173451000,Cerritos,100,13131 166th St,90703,Los Angeles County,33.88061152490,90703,2202,339,Cerritos
"771 E Watson Center Rd, Carson, California, 90745",-118.26186999600,Carson,100,771 Watson Center Rd,90745,Los Angeles County,33.82014749280,90745,4109,322,Carson
"16200 Carmenita Rd, Cerritos, California, 90703",-118.04643253700,Cerritos,100,16200 Carmenita Rd,90703,Los Angeles County,33.88557700620,90703,2255,360,Cerritos
"20488 S Reeves Ave, Long Beach, California, 90810",-118.22795312800,Carson,99,20488 Reeves Ave,90810,Los Angeles County,33.84464821490,90810,1011,268,Long Beach
"17101 Valley View Ave, Cerritos, California, 90703",-118.02895082100,Cerritos,100,17101 Valley View Ave,90703,Los Angeles County,33.87651348670,90703,,362,Cerritos
"16012 Arthur St, Cerritos, California, 90703",-118.06124403100,Cerritos,100,16012 Arthur St,90703,Los Angeles County,33.88642885900,90703,2110,356,Cerritos
"18120 Bishop Ave, Carson, California, 90746",-118.24259145100,Carson,100,18120 Bishop Ave,90746,Los Angeles County,33.86588100060,90746,4032,255,Carson
"14840 E Proctor Ave, La Puente, California, 91746",-117.97321512000,City of Industry,100,14840 E Proctor Ave,91746,Los Angeles County,34.02886154300,91746,,550,La Puente
"14500 Nelson Ave, La Puente, California, 91744",-117.97402345500,City of Industry,100,14500 Nelson Ave,91744,Los Angeles County,34.03833501230,91744,3514,537,La Puente
"20434 S Santa Fe Ave, Long Beach, California, 90810",-118.21178301200,Carson,100,20434 S Santa Fe Ave,90810,Los Angeles County,33.84589481350,90810,1121,266,Long Beach
"15241 Don Julian Rd, Hacienda Heights, California, 91745",-117.96847949600,City Of Industry,100,15241 Don Julian Rd,91745,Los Angeles County,34.02095165760,91745,1002,559,Hacienda Heights
"17355 E Railroad St, Rowland Heights, California, 91748",-117.92693027400,City of Industry,100,17355 E Railroad St,91748,Los Angeles County,34.00260196480,91748,1024,588,Rowland Heights
"15350 Stafford St, La Puente, California, 91744",-117.96137994100,City Of Industry,99,15350 E Stafford St,91744,Los Angeles County,34.02663102560,91744,4420,561,La Puente
"16110 Carmenita Rd, Cerritos, California, 90703",-118.04639092800,Cerritos,100,16110 Carmenita Rd,90703,Los Angeles County,33.88563655960,90703,2211,359,Cerritos
"12889 Moore St, Cerritos, California, 90703",-118.05856022900,Cerritos,100,12889 Moore St,90703,Los Angeles County,33.88229398240,90703,2122,336,Cerritos
"1113 E 230th St, Carson, California, 90745",-118.25425797100,Carson,100,1113 E 230th St,90745,Los Angeles County,33.81725753840,90745,5009,226,Carson
"800 E 230th St, Carson, California, 90745",-118.25920597600,Carson,100,800 E 230th St,90745,Los Angeles County,33.81718247840,90745,5002,323,Carson
"1350 E 223rd St, Carson, California, 90745",-118.24777699900,Carson,100,1350 E 223rd St,90745,Los Angeles County,33.82420249000,90745,,236,Carson
"14551 Bonelli St, La Puente, California, 91746",-117.98517096700,City Of Industry,100,14551 Bonelli St,91746,Los Angeles County,34.02569350970,91746,3030,540,La Puente
"14528 Bonelli St, La Puente, California, 91746",-117.98600059300,City of Industry,98,14528 Bonelli Ave,91746,Los Angeles County,34.02591761420,91746,3022,539,La Puente
"14438 E Don Julian Rd, La Puente, California, 91746",-117.98356728400,City Of Industry,100,14438 E Don Julian Rd,91746,Los Angeles County,34.03107243980,91746,3101,535,La Puente
"14171 Park Pl, Cerritos, California, 90703",-118.02962598300,Cerritos,100,14171 Park Pl,90703,Los Angeles County,33.87847745040,90703,2405,348,Cerritos
"1100 Baldwin Park Blvd, Baldwin Park, California, 91706",-117.98368812400,Baldwin Park,100,1100 Baldwin Park Blvd,91706,Los Angeles County,34.06556333140,91706,,98,Baldwin Park
"630 E Lambert Rd, Brea, California, 92821",-117.88664714300,Brea,100,630 E Lambert Rd,92821,Orange County,33.92507110910,92821,4119,162,Brea
"16290 Shoemaker Ave, Cerritos, California, 90703",-118.05534090800,Cerritos,100,16290 Shoemaker Ave,90703,Los Angeles County,33.88393050710,90703,2241,361,Cerritos
"14121 Artesia Blvd, Cerritos, California, 90703",-118.03067196100,Cerritos,100,14121 Artesia Blvd,90703,Los Angeles County,33.87337752330,90703,7025,347,Cerritos
"1070 Samuelson St, Rowland Heights, California, 91748",-117.90986442800,City Of Industry,100,1070 Samuelson St,91748,Los Angeles County,33.99902267100,91748,1219,506,Rowland Heights
"1550 Charles Willard St, Carson, California, 90746",-118.24131409700,Carson,100,1550 Charles Willard St,90746,Los Angeles County,33.86375568930,90746,,244,Carson
"1145 E 233rd St, Carson, California, 90745",-118.25246860200,Carson,100,1145 E 233rd St,90745,Los Angeles County,33.81313292950,90745,6207,230,Carson
"17000 Kingsview Ave, Carson, California, 90746",-118.26211038900,Carson,100,17000 Kingsview Ave,90746,Los Angeles County,33.87796783070,90746,1230,250,Carson
"901 E 233rd St, Carson, California, 90745",-118.25923196000,Carson,100,901 E 233rd St,90745,Los Angeles County,33.81433078730,90745,6204,328,Carson
"18051 Arenth Ave, Rowland Heights, California, 91748",-117.90982218400,City of Industry,99,18051 E Arenth Ave,91748,Los Angeles County,34.00503853060,91748,1223,598,Rowland Heights
"16017 E Valley Blvd, La Puente, California, 91744",-117.95224517500,City of Industry,100,16017 E Valley Blvd,91744,Los Angeles County,34.01540891450,91744,5424,573,La Puente
"14455 Clark Ave, Hacienda Heights, California, 91745",-117.98737674900,City Of Industry,99,14455 E Clark Ave,91745,Los Angeles County,34.02396692150,91745,1235,536,Hacienda Heights
"1040 E Watson Center Rd, Carson, California, 90745",-118.25607935800,Carson,100,1040 E Watson Center Rd,90745,Los Angeles County,33.82020205900,90745,4202,220,Carson
"21023 Main St, Carson, California, 90745",-118.27979193000,Carson,99,21023 S Main St,90745,Los Angeles County,33.83905945520,90745,1246,278,Carson
"14736 Nelson Ave, La Puente, California, 91744",-117.96940940000,City Of Industry,100,14736 Nelson Ave,91744,Los Angeles County,34.03487948330,91744,4327,545,La Puente
"179 Grand Ave, Walnut, California, 91789",-117.83580696100,City Of Industry,99,179 S Grand Ave,91789,Los Angeles County,34.02351501120,91789,5205,596,Walnut
